,0,1,2,3,4,5,6,7,8
0,intel,core,i7-7600u,,,,,,
1,intel,core,i5-5300u,,,,,,
2,intel,core,i7-7700hq,,,,,,
3,intel,core,i5-2400,,,,,,
4,intel,core,i5-4570s,,,,,,
5,intel,core,i7,5th,gen.,,,,
6,intel,xeon,e-2176m,,,,,,
7,intel,core,i3-1115g4,,,,,,
8,intel,core,i5-7200u,,,,,,
9,intel,core,i7-6820hq,,,,,,
10,intel,core,2,duo,,,,,
11,intel,core,i5,3rd,gen.,,,,
12,intel,core,i7,10th,gen.,,,,
13,intel,core,i7,5th,gen.,,,,
14,i9,12th,gen,,,,,,
15,intel,core,i7,6th,gen.,,,,
16,intel,celeron,d,,,,,,
17,core,i5,8350u,,,,,,
18,intel,core,i5,8th,gen.,,,,
19,12th,intel,evo,platform,12-core,"i5-1240p,",8gb,lpddr5,ram
20,intel,core,i5,4th,gen.,,,,
21,intel,celeron,n3150,,,,,,
22,intel,core,i7,6th,gen.,,,,
23,intel,core,i5,vpro,,,,,
24,intel,core,i5,6th,gen.,,,,
25,intel,core,i5,6th,gen.,,,,
26,intel,core,i7,11th,gen.,,,,
27,intel,core,i7,11th,gen.,,,,
28,intel,core,i5,3rd,gen.,,,,
29,intel,celeron,b,,,,,,
30,intel,core,i7-5500u,,,,,,
31,intel,centrino,,,,,,,
32,intel,core,i5-560m,,,,,,
33,intel,core,i5,8th,gen.,,,,
34,intel,core,i7-8550u,,,,,,
35,intel,core,i7-9850h,,,,,,
36,intel,core,i5-6300hq,,,,,,
37,intel,core,i3-7100u,,,,,,
38,intel,core,i3-7100u,,,,,,
39,intel,core,i7-8850h,,,,,,
40,intel,core,i5-1035g1,,,,,,
41,intel,core,i7-7500u,,,,,,
42,intel,core,i7,7th,gen.,,,,
43,missing,,,,,,,,
44,intel,core,i7,10th,gen.,,,,
45,intel,core,i7,7th,gen.,,,,
46,core,i7-6700t,,,,,,,
47,intel,core,i5,6th,gen.,,,,
48,intel,core,i7,8th,gen.,,,,
49,intel,core,i5,8th,gen.,,,,
50,intel,core,i5,10th,gen.,,,,
51,intel,celeron,,,,,,,
52,intel,core,i5,3rd,gen.,,,,
53,intel,core,i5,12th,gen.,,,,
54,intel,core,i7,8th,gen.,,,,
55,intel,core,i5,8th,gen.,,,,
56,intel,core,i5,5th,gen.,,,,
57,intel,core,i7,6th,gen.,,,,
58,intel,core,i7,7th,gen.,,,,
