,Brand,Series,Subseries,Generation
0,intel,core,i7,7
1,intel,core,i5,5
2,intel,core,i7,7
3,intel,core,i5,2
4,intel,core,i5,4
5,intel,core,i7,5
6,intel,xeon,e,2
7,intel,core,i3,11
8,intel,core,i5,7
9,intel,core,i7,6
10,intel,core,,
11,intel,core,i5,3
12,intel,core,i7,10
13,intel,core,i7,5
14,intel,core,i9,12
15,intel,core,i7,6
16,intel,celeron,d,
17,core,core,i5,8
18,intel,core,i5,8
19,intel,core,i5,12
20,intel,core,i5,4
21,intel,celeron,n,
22,intel,core,i7,6
23,intel,core,i5,
24,intel,core,i5,6
25,intel,core,i5,6
26,intel,core,i7,11
27,intel,core,i7,11
28,intel,core,i5,3
29,intel,celeron,b,
30,intel,core,i7,5
31,intel,centrino,,
32,intel,core,i5,5
33,intel,core,i5,8
34,intel,core,i7,8
35,intel,core,i7,9
36,intel,core,i5,6
37,intel,core,i3,7
38,intel,core,i3,7
39,intel,core,i7,8
40,intel,core,i5,10
41,intel,core,i7,7
42,intel,core,i7,7
43,missing,,,
44,intel,core,i7,10
45,intel,core,i7,7
46,core,i7-6700t,,
47,intel,core,i5,6
48,intel,core,i7,8
49,intel,core,i5,8
50,intel,core,i5,10
51,intel,celeron,,
52,intel,core,i5,3
53,intel,core,i5,12
54,intel,core,i7,8
55,intel,core,i5,8
56,intel,core,i5,5
57,intel,core,i7,6
58,intel,core,i7,7
59,intel,core,i3,4
60,intel,celeron,n,
61,intel,core,i7,6
62,intel,core,i5,10
63,intel,core,i5,5
64,amd,e-series,,
65,intel,core,i5,6
66,intel,core,i5,2
67,amd,ryzen,3,
68,intel,core,i5,7
69,intel,core,i7,10
70,intel,,,
71,intel,core,i7,3
72,intel,core,i5,12
73,core,i5,,4
74,intel,core,i5,4
75,amd,a,6,
76,intel,core,i7,5
77,intel,core,i7,
78,intel,core,i7,11
79,intel,core,I3,8
80,intel,core,I3,11
81,intel,core,i7,9
82,intel,core,i5,8
83,amd,ryzen,5,
84,intel,core,i5,8
85,intel,core,i5,10
86,intel,core,i7,8
87,amd,fx,,
88,amd,ryzen,7,
89,intel,core,i7,10
90,intel,core,i7,6
91,intel,core,i5,8
92,intel,core,i5,8
93,amd,ryzen,5,
94,intel,celeron,,
95,intel,core,i7,8
96,intel,core,i7,12
97,intel,core,i5,6
98,intel,core,i7,5
99,intel,core,i7,11
100,amd,ryzen,7,
